description,category,amount
Bulk Food From Spar Grocery,groceries,-53.09
wine bar / sandwich,cafe_restaurant,-44.42
Order Cigna Medication,health,-157.48
Series (Festival) Game,entertainment,-98.4
DLC FROM MUSEUM EVENT TICKET,entertainment,-45.29
NATIONAL EXPRESS DIRECT DEBIT SHUTTLE,transport,-55.18
MEMBERSHIP FROM HUMBLE BUNDLE,entertainment,-6.78
spa paypal/gb physio,health,-48.83
PAYMENT FROM TOPSHOP,shopping,-380.94
Autopay Humble Bundle Credit Streaming,entertainment,-114.13
CVS DELIVERY DENTAL,health,-206.58
Mcdonald'S | Debit | Euimcasdj7 Snack,cafe_restaurant,-41.81
NINTENDO IBAN BOWLING,entertainment,-106.11
SO SNCF CHARGING,transport,-52.93
dlc near work night out,entertainment,-6.33
hulu*r5fhb1jxts,entertainment,-131.55
Massage Downtown Physio,health,-41.87
avis brussels recurring fare,transport,-11.6
GAP ONLINE HEADPHONES,shopping,-318.79
CREDIT MUSEUM MEMBERSHIP,entertainment,-29.07
Comedy Club Visa/ Movie,entertainment,-119.7
tommy hilfiger-dublin-ecom,shopping,-346.7
Nintendo Online In-App Purchase,entertainment,-17.54
Home Insurance-Stockholm-App,bills_utilities,-869.19
CREDIT CIRCLE K,transport,-54.2
dd dunkin pizza,cafe_restaurant,-9.07
SCIENCE CENTER ONLINE SERIES,entertainment,-46.07
street food monthly,cafe_restaurant,-29.82
card payment xbox gb,entertainment,-106.0
SHUTTLE OUTING COMMUTE,transport,-6.1
Scotti Berlin Stripe Direct Debit,bills_utilities,-1184.8
Naturkost Online Grocery,groceries,-42.57
FREE NOW | FEE | 35MLWR5 PASS,transport,-33.99
ASDA BILL,groceries,-113.73
TRAIN MONTHLY CHARGING,transport,-44.42
Direct Debit Neste Fuel,transport,-45.38
Stripe Chili'S Stockholm,cafe_restaurant,-11.49
STEAM DE VISA MOVIE,entertainment,-133.1
Grocery Store-Chicago-Debit Milk,groceries,-55.21
ENGIE O470K9TWO BRUSSELS WATER,bills_utilities,-216.13
CARD PAYMENT XBOX PARIS,entertainment,-124.51
puma subscription online shoes,shopping,-215.98
Dd Thai Restaurant Lunch,cafe_restaurant,-6.11
DD NETFLIX MOVIE,entertainment,-52.19
TRENITALIA ONLINE,transport,-50.87
PIZZA DOWNTOWN,cafe_restaurant,-38.08
CORNER SHOP DEBIT DE FRESH FOOD,groceries,-66.82
OLIVE GARDEN INVOICE STRIPE DESSERT,cafe_restaurant,-15.15
ODEON ONLINE/EU NIGHT OUT,entertainment,-118.81
crunchyroll txn ref eg255bmlw,entertainment,-101.71
direct debit chili's beer,cafe_restaurant,-4.93
eurostar inbound transfer toll,transport,-32.58
Bp Fare,transport,-66.75
Domino'S*Wcelbcey,cafe_restaurant,-27.96
renfe visit airport transfer,transport,-49.24
GROCERY STORE PAYMENT,groceries,-119.6
so airbnb payout,income,685.4
recurring supermarket,groceries,-17.8
direct line with friends,bills_utilities,-301.2
Bt Received,bills_utilities,-292.8
Olive Garden*Cre Stockholm Snack,cafe_restaurant,-62.11
Mediamarkt Online,shopping,-167.49
Beer Takeaway,cafe_restaurant,-18.33
BROKER PAYOUT PURCHASE DIRECT DEBIT,income,973.93
pizza,cafe_restaurant,-11.02
DD KAUFLAND,groceries,-83.14
Order Dentist,health,-248.08
Subscription Renewal Credited,bills_utilities,-68.22
in-app purchase from concert venue in-app purchase,entertainment,-47.68
PURCHASE MINI GOLF,entertainment,-15.05
DIRECT DEBIT EDEKA FOOD SHOPPING ORGANIC,groceries,-94.67
TRAMPOLINE PARK CREDIT/VIENNA,entertainment,-121.87
MEGABUS PAYMENT CHARGING,transport,-38.16
SPAR / BULK FOOD BULK FOOD,groceries,-15.67
CINEPOLIS ONLINE,entertainment,-6.94
BRITISH GAS DIRECT DEBIT ROME,bills_utilities,-1471.77
so circle k,transport,-7.88
EBAY BILL,shopping,-195.08
So Puma Clothing,shopping,-129.01
dd planet fitness medication,health,-132.37
tfl visit ticket,transport,-52.18
contractor fee delivery bonus received,income,3865.81
diner*pcngsd0 dine in,cafe_restaurant,-36.25
PUREGYM AUTOPAY ROME,health,-88.51
axa insurance annual fee,bills_utilities,-1451.66
Bio Company Txn,groceries,-50.02
VITALITY / FITNESS CLASS WORKOUT,health,-98.14
E.On Pos Lisbon,bills_utilities,-1304.28
Nike Inbound Transfer,shopping,-141.19
dessert from indian takeaway drinks,cafe_restaurant,-34.29
john lewis monthly,shopping,-254.64
Dividend Auto-Renewal Commission Paid,income,2426.26
AXA HEALTH WITH FRIENDS,health,-238.88
FREE NOW | DEBIT | YCX7VGSIX,transport,-77.77
Three  Autopay,bills_utilities,-1190.99
Electricity From Virgin Media Subscription Renewal,bills_utilities,-1402.83
So Disney+ Membership,entertainment,-120.03
PURCHASE TIM HORTONS COFFEE,cafe_restaurant,-36.62
DIRECT DEBIT DOWNTOWN,bills_utilities,-116.9
CLINIC WB89MPCFLL AMSTERDAM PRESCRIPTION,health,-171.94
COFFEE CREDITED,cafe_restaurant,-20.71
national express - petrol,transport,-35.04
Appliance Outing,shopping,-332.92
THERAPY OUTING MASSAGE,health,-233.42
Paramount+ / Movie,entertainment,-30.98
LYFT DUBLIN ONLINE COMMUTE,transport,-62.4
direct debit dm drogerie,health,-136.82
Pos Cashback Prague,income,3454.92
medicine (therapy) medication,health,-26.07
OPTICIAN - HEALTH INSURANCE MEDICATION,health,-126.94
Upwork Iban Commission Paid,income,2131.93
Contactless Diner,cafe_restaurant,-25.83
Billa Received,groceries,-83.94
free now visit,transport,-25.42
migros contactless/brussels groceries,groceries,-70.53
WIZZ AIR*130PVUOX1 TRIP,transport,-37.93
CHILI'S-STOCKHOLM-TXN DELIVERY MEAL,cafe_restaurant,-45.38
m&s food | txn | 9si4njggx7 vegetables,groceries,-38.63
contactless nightclub concert ticket,entertainment,-112.44
NPOWER OQDVASOM FR,bills_utilities,-573.74
jacket at asos delivery,shopping,-201.06
DIRECT DEBIT PHYSIOTHERAPY,health,-217.97
autopay five guys credit,cafe_restaurant,-21.01
BOLT WITH FRIENDS,transport,-23.39
PEACOCK DELIVERY,entertainment,-62.24
purchase museum,entertainment,-142.45
Five Guys Online Us,cafe_restaurant,-27.87
CREDIT SATURN DELIVERY,shopping,-191.8
CREDIT WHOLE FOODS CHICAGO,groceries,-11.78
Sushi From Mcdonald'S Ramen,cafe_restaurant,-27.16
ORDER BT WATER,bills_utilities,-1173.57
Standing Order Tfl Airport Transfer,transport,-4.74
FOOD SHOPPING OUTING,groceries,-14.01
TRAM*AVDKOFF,transport,-42.72
burger joint web ref gwj8h61 pasta,cafe_restaurant,-23.4
tram delivery journey,transport,-48.93
PHYSIO DOWNTOWN DENTAL,health,-160.19
ecom local market new york food shopping,groceries,-65.56
LA FITNESS INBOUND TRANSFER,health,-44.05
Order Department Store,shopping,-313.18
CREDIT PLANET FITNESS,health,-28.84
scottish water - standing order,bills_utilities,-1404.89
SAINSBURY'S*FEE US SUPERMARKET RUN,groceries,-76.93
return decathlon,shopping,-333.32
commission paid from dividend cashback credited,income,1484.95
ferry debit ticket,transport,-34.46
ikea monthly phone,shopping,-100.06
Pilates Medication,health,-188.38
MEAT CREDITED GROCERIES,groceries,-98.27
rwe visit,bills_utilities,-1412.92
Purchase,shopping,-397.04
Leon*Fee London Wine,cafe_restaurant,-16.21
deutsche bahn fee contactless,transport,-73.38
TAXI ECOM LOS ANGELES SHUTTLE,transport,-27.04
Contactless Dunkin Takeaway,cafe_restaurant,-49.58
CASHBACK IBAN/PRAGUE,income,1361.39
Etsy Online,shopping,-297.09
edeka delivery,groceries,-70.27
ENGIE - DIRECT DEBIT,bills_utilities,-1104.09
PAYMENT FROM MINI MARKET WEEKLY SHOP,groceries,-76.89
Recurring Indian Takeaway,cafe_restaurant,-58.37
standing order scottish water,bills_utilities,-1052.32
Night Out,entertainment,-47.34
payment from greggs cappuccino,cafe_restaurant,-21.65
BULK POWDERS ONLINE DOCTOR VISIT,health,-59.12
Membership Downtown,entertainment,-65.49
paypal transfer direct debit transfer received,income,1942.82
CARD TRAMPOLINE PARK BERLIN SUBSCRIPTION,entertainment,-115.01
payroll credit ref hzi5sc0,income,1262.2
Tram Bill,transport,-22.89
bowling*inv fr dlc,entertainment,-116.76
BILLA DIRECT DEBIT FRUITS,groceries,-39.37
Billa Delivery Vegetables,groceries,-62.46
SUSHI BAR/PURCHASE/LONDON,cafe_restaurant,-3.02
spotify*dnmty7pp show,entertainment,-144.6
CROSSFIT DELIVERY,health,-186.37
DD REI SHOES,shopping,-420.23
migros/invoice/chicago bread,groceries,-77.34
VISA SHEIN GIFT DRESS,shopping,-77.74
allianz delivery,bills_utilities,-55.54
Bus | Subscription | N635O5V7S,transport,-45.33
parking fee outing,transport,-65.92
ORDER BOLT,transport,-67.21
TICKET DOWNTOWN,transport,-4.04
ENTERPRISE-US-IBAN FERRY CROSSING,transport,-68.6
sports direct auto-renewal clothes,shopping,-376.01
Rossmann Iban/London Medication,health,-97.56
dm drogerie/credit/london,health,-79.55
CREDIT FOOD MARKET,groceries,-69.89
Web Home Insurance Brussels Gas,bills_utilities,-176.84
Standing Order Zurich,bills_utilities,-1498.59
Card Payment T-Mobile Los Angeles,bills_utilities,-1029.64
OPERA HOUSE MONTHLY,entertainment,-81.7
CARREFOUR - DAIRY,groceries,-116.89
medical at blood test physio,health,-218.22
T-MOBILE*K6FLD91S,bills_utilities,-290.61
AUTOPAY PEACOCK CREDIT EVENT TICKET,entertainment,-87.23
BRITISH GAS WEB REF 5FGF3LML COUNCIL TAX,bills_utilities,-1076.61
ODEON MONTHLY SUBSCRIPTION,entertainment,-105.77
bistro | order | 8obfcv7ti2 espresso,cafe_restaurant,-58.96
DESSERT (TGI FRIDAY'S) DESSERT,cafe_restaurant,-32.37
Order Freelance Payment Freelance Income,income,921.69
Shuttle Near Work,transport,-75.45
VODAFONE HOME ONLINE STANDING ORDER,bills_utilities,-815.59
cigna auto-renewal medicine,health,-153.27
SSE VISIT STANDING ORDER,bills_utilities,-374.38
ECOM TIDAL NIGHT OUT,entertainment,-137.2
Laptop (Puma),shopping,-173.58
Vegetables Near Work Groceries,groceries,-34.03
BEST BUY TRANSFER STRIPE,shopping,-489.38
PETROL (CIRCLE K) RIDE,transport,-51.24
BOOTS BEAUTY | TRANSFER | DRK59P,shopping,-295.18
Diner Credit Ref Efgse5Vxo,cafe_restaurant,-45.53
asda fruits,groceries,-113.98
Return Outlet Store,shopping,-361.72
Dd Netto,groceries,-114.66
aldi*txn gb,groceries,-72.92
MAC COSMETICS VISIT,shopping,-196.57
aliexpress visit online order,shopping,-31.5
WAGE CONTACTLESS REF N3LWGOK SALARY RECEIVED,income,4286.35
so comedy club night out,entertainment,-70.29
RECURRING IHERB VITAMINS,health,-203.03
PUREGYM - THERAPY CHECKUP,health,-75.15
CARREFOUR CREDIT VISA FOOD SHOPPING,groceries,-44.14
BOWLING AUTO-RENEWAL SERIES,entertainment,-140.43
Parking Order Credit Ferry Crossing,transport,-75.1
Concert Ticket Outing Film,entertainment,-93.31
Pos Gp Surgery New York,health,-212.37
burger lisbon online pasta,cafe_restaurant,-37.78
credit pizza hut,cafe_restaurant,-63.6
apple store 1iys83 warsaw,shopping,-97.18
Payment From Gap Online Order,shopping,-195.34
Walgreens Auto-Renewal Dental,health,-170.37
CHINESE RESTAURANT DIRECT DEBIT,cafe_restaurant,-32.27
DIRECT DEBIT T-MOBILE,bills_utilities,-158.5
Sainsbury'S*Cha Madrid Groceries,groceries,-66.84
IHERB GYM PHYSIO,health,-166.61
SALARY SALARY RECEIVED,income,3043.32
DEBIT LIDL GROCERY MEAT,groceries,-30.32
Purchase Shell,transport,-67.64
game downtown subscription,entertainment,-86.57
admiral direct debit insurance premium,bills_utilities,-261.22
Autopay Q8 Debit Fuel,transport,-60.37
order neste,transport,-42.28
CARREFOUR,groceries,-34.43
food market credit/dublin,groceries,-103.66
DIRECT DEBIT RENT,bills_utilities,-771.75
PURCHASE COSTA COFFEE SUSHI,cafe_restaurant,-13.69
credit axa health,health,-153.67
RETURN NETTO,groceries,-99.19
RALPH LAUREN | FEE | 97W2Y7AUQ CLOTHES,shopping,-74.62
ETSY - JACKET SHIRT,shopping,-169.29
Peacock Payment,entertainment,-50.52
disney+,entertainment,-135.04
OLIVE GARDEN DIRECT DEBIT,cafe_restaurant,-43.07
Subscription Renewal Near Work,bills_utilities,-192.15
HOME INSURANCE BILL,bills_utilities,-1056.1
Medication Outing,health,-178.37
Edeka Payment Bulk Food,groceries,-59.79
MIGROS RECEIVED FRESH FOOD,groceries,-16.5
STANDING ORDER LANDLORD PAYMENT BROADBAND BILL,bills_utilities,-1154.6
ORDER TRAIN FARE,transport,-32.03
EBAY BILL,shopping,-169.61
Blood Test Visit Vitamins,health,-230.52
travel card (ryanair),transport,-2.84
PASS NEAR WORK JOURNEY,transport,-60.1
credit tapas bar breakfast,cafe_restaurant,-24.7
SO FESTIVAL GAMING,entertainment,-33.45
Diesel,transport,-2.72
dd cashback,income,1111.21
CARD PAYMENT YOUTUBE PREMIUM ,entertainment,-87.23
SO MUBI CONCERT TICKET,entertainment,-23.02
OLIVE GARDEN PAYMENT RECURRING KEBAB,cafe_restaurant,-36.24
WAGE CREDIT FROM PAYPAL TRANSFER REFUND RECEIVED,income,1751.94
UNDER ARMOUR AUTO-RENEWAL LAPTOP,shopping,-89.06
Dd Comedy Club,entertainment,-78.58
Investment Return Debit Ref Wffytc Wage Credit,income,3056.1
laptop credited online order,shopping,-66.86
YOUTUBE PREMIUM VISIT CONCERT TICKET,entertainment,-37.3
EDEKA MONTHLY DAIRY,groceries,-45.94
TRIP CREDITED TRAVEL CARD,transport,-24.16
Recurring Caffe Nero,cafe_restaurant,-9.2
Purchase Disney+ Movie,entertainment,-127.86
CAR PARK PAYMENT COMMUTE,transport,-22.8
Recurring Twitch Show,entertainment,-95.1
STANDING ORDER SPA,health,-237.4
Chick-Fil-A Recurring/Prague Dessert,cafe_restaurant,-28.84
RETURN NEXT,shopping,-21.43
Mcdonald'S Beer,cafe_restaurant,-25.31
curves bill supplements,health,-218.27
ESCAPE ROOM RECURRING FESTIVAL PASS,entertainment,-119.47
brasserie debit sepa,cafe_restaurant,-60.86
Dd Food Truck,cafe_restaurant,-8.85
WHOLE FOODS MONTHLY,groceries,-114.58
Hospital/Debit/Eu Prescription,health,-71.89
online shop*cre vienna,shopping,-426.42
sephora - clothing,shopping,-340.6
SANDWICH CREDITED TAKEAWAY,cafe_restaurant,-35.18
STANDING ORDER INTEREST PAYMENT INTEREST CREDITED,income,1459.97
concert venue stripe,entertainment,-135.48
dd walgreens massage,health,-198.29
epic games*onn3hnwvm7,entertainment,-25.51
Clothing Store Monthly,shopping,-405.22
apple store-us-pos,shopping,-475.65
JOURNEY,transport,-74.19
CONTACTLESS TOTAL TRAVEL CARD,transport,-50.35
return vinted,shopping,-396.5
ACCESSORIES OUTING,shopping,-178.21
sepa topshop homeware,shopping,-421.62
Coop With Friends Organic,groceries,-93.69
cvs | subscription | arq00qhh,health,-180.79
Water Bill - Mortgage Payment,bills_utilities,-961.49
wage direct debit salary received,income,4820.42
DD DECATHLON DELIVERY,shopping,-50.28
standing order thai restaurant takeaway,cafe_restaurant,-35.19
TICKET CREDITED,transport,-70.74
SO HABITAT CLOTHING,shopping,-60.78
RETURN ASDA,groceries,-38.92
SAINSBURY'S PRODUCE,groceries,-30.38
Online Shop Shirt,shopping,-142.4
Vitality - Medication Physio,health,-70.56
airport transfer,transport,-54.0
DEEZER DIRECT DEBIT GAME,entertainment,-128.06
cinepolis - bowling dlc,entertainment,-149.21
So Rewe,groceries,-49.12
restaurant pos new york,cafe_restaurant,-5.41
Credit Orange,bills_utilities,-1194.68
SHELL APP REF M5FAYG1FG7 FARE,transport,-30.09
Recurring Broadband Electricity,bills_utilities,-316.74
Aviva Chicago Ecom,bills_utilities,-597.14
landlord payment auto-renewal,bills_utilities,-74.13
recurring restaurant,cafe_restaurant,-30.73
specialist inbound transfer,health,-158.86
FERRY CROSSING CREDITED TRAVEL CARD,transport,-16.5
Crunchyroll Autopay Ref 57Cws5Lrk8 Membership,entertainment,-82.02
gp surgery debit web,health,-198.17
drinks credited,cafe_restaurant,-20.64
DINE IN (BURGER KING),cafe_restaurant,-60.28
rent phone plan,bills_utilities,-699.37
movie at nightclub,entertainment,-41.14
CLINIC DELIVERY,health,-215.9
standing order taxi parking fee,transport,-47.24
Payment From Chinese Restaurant Cake,cafe_restaurant,-62.88
Rewe Delivery Organic,groceries,-90.29
Uber Received,transport,-43.93
PHONE PLAN CREDITED,bills_utilities,-174.67
CARD PAYMENT TOMMY HILFIGER US JACKET,shopping,-332.18
Credit Subway Latte,cafe_restaurant,-31.5
SO AT&T SUBSCRIPTION RENEWAL,bills_utilities,-344.35
netflix | fee | cu2bbf9,entertainment,-148.73
STEAM CARD CONCERT TICKET,entertainment,-44.17
Wish Auto-Renewal Gadget,shopping,-281.19
DEPARTMENT STORE*INV NEW YORK SHIRT,shopping,-342.72
DIRECT DEBIT WAYFAIR ACCESSORIES,shopping,-334.43
CARD PAYMENT CAFFE NERO NEW YORK DINE IN,cafe_restaurant,-11.46
restaurant,cafe_restaurant,-28.92
Comedy Club*4Oco89,entertainment,-14.84
return flixbus parking fee,transport,-53.43
Gift At Amazon,shopping,-330.86
DD AVIS JOURNEY,transport,-79.88
Lyft/Transfer/ Journey,transport,-29.99
CARD ALDI LONDON EGGS,groceries,-20.55
contactless john lewis clothes,shopping,-416.93
Upwork Payment,income,4120.1
Autopay Burger Joint Invoice,cafe_restaurant,-27.24
T-MOBILE AUTOPAY,bills_utilities,-747.83
ESCAPE ROOM POS LONDON GAMING,entertainment,-113.58
pret a manger ecom,cafe_restaurant,-16.85
L'Occitane | Subscription | Ywoeygn5V,shopping,-260.61
snack outing,cafe_restaurant,-44.17
escape room monthly subscription,entertainment,-40.7
ecom equinox fr medication,health,-49.62
tram*8z2n0wjbtt fuel,transport,-38.34
ESCAPE ROOM PAYMENT,entertainment,-53.92
currys with friends jacket,shopping,-214.1
ENTERPRISE WITH FRIENDS SHUTTLE,transport,-46.28
recurring online shop electronics,shopping,-121.55
direct debit vinted shoes,shopping,-149.06
Lidl Bill,groceries,-51.93
spotify online,entertainment,-35.28
credit etsy electronics,shopping,-414.21
BAKERY TXN RECURRING DRINKS,cafe_restaurant,-16.56
CARD PAYMENT OUTLET STORE BERLIN,shopping,-335.75
card payment direct line rome annual fee,bills_utilities,-841.24
WALGREENS SUPPLEMENTS,health,-209.61
Delivery (Tommy Hilfiger) Trousers,shopping,-493.42
indian chicago debit snack,cafe_restaurant,-24.77
Fitness Class Credited Fitness Class,health,-23.93
ONLINE SHOP WITH FRIENDS,shopping,-446.6
RECURRING RENFE,transport,-30.36
elkjøp headphones,shopping,-122.7
Journey Travel Card,transport,-24.16
TGI FRIDAY'S-FR-PAYPAL DRINKS,cafe_restaurant,-20.02
blood test/charge/ medication,health,-117.56
CAPPUCCINO NEAR WORK BURGER,cafe_restaurant,-10.39
Contactless Amazon Prime Video Club Entry,entertainment,-144.27
standing order blood test,health,-185.29
TOPSHO AMSTERDAM DEBIT,shopping,-375.81
Fruits Groceries,groceries,-10.51
Shuttle At Enterprise,transport,-17.14
ONLINE SHOP | SUBSCRIPTION | S99JUNZ7J CLOTHING,shopping,-106.66
fiverr rgtt9a prague,income,4246.29
beer credited takeaway,cafe_restaurant,-52.74
ASOS DIRECT DEBIT FURNITURE,shopping,-481.55
THREE | FEE | 902KMPS,bills_utilities,-543.85
burger king online sushi,cafe_restaurant,-27.94
Credit Playstation,entertainment,-14.65
Sushi Bar Sushi,cafe_restaurant,-45.75
mini golf - streaming subscription,entertainment,-27.5
STANDING ORDER CREDITED STANDING ORDER,bills_utilities,-942.71
THAMES WATER BILL DIRECT DEBIT,bills_utilities,-288.34
CURVES MONTHLY MEDICINE,health,-214.78
Order Axa Health,health,-89.42
IBAN TRAMPOLINE PARK PARIS STREAMING,entertainment,-40.3
jewellery (puma) delivery,shopping,-167.3
Purchase Zara Clothes,shopping,-450.71
RETURN NEXT SHIRT,shopping,-170.44
bolt payment pass,transport,-16.27
METRO DUBLIN SEPA FARE,transport,-46.98
Credit Pilates,health,-168.02
GOG,entertainment,-115.27
ELKJØP-GB-CREDIT,shopping,-35.06
SCIENCE CENTER GIG,entertainment,-25.48
interest credited downtown wage credit,income,435.05
recurring toptal,income,3818.48
ZURICH | TXN | 4ZH6JY4 INSURANCE PREMIUM,bills_utilities,-767.01
ONLINE SPECIALIST LISBON GYM,health,-196.76
MASTERCARD KFC CAKE ESPRESSO,cafe_restaurant,-44.78
fnac delivery shirt,shopping,-457.87
DEUTSCHE BAHN AUTO-RENEWAL TOLL,transport,-57.54
TRAMPOLINE PARK ONLINE,entertainment,-128.26
bulk p vienna mastercard,health,-38.78
Dd Pizza Express Brunch,cafe_restaurant,-21.59
NATURK BERLIN CREDIT,groceries,-93.12
gym at therapy,health,-127.53
HOLLAND BARRETT-DUBLIN-VISA,health,-9.77
charging,transport,-14.67
SUPERMARKET TXN  FOOD SHOPPING,groceries,-51.89
t-mobile standing order,bills_utilities,-1263.17
PAYROLL PURCHASE IBAN COMMISSION PAID,income,2481.45
Adidas Credit Ref Qlze8N1Ezz Clothing,shopping,-421.64
standing order thai restaurant,cafe_restaurant,-28.58
purchase food truck beer,cafe_restaurant,-26.2
BAKERY DIRECT DEBIT KEBAB,cafe_restaurant,-54.79
dd amc,entertainment,-86.48
RETURN BROKER PAYOUT REFUND RECEIVED,income,2080.4
Organic (Corner Shop) Groceries,groceries,-17.49
credit severn trent,bills_utilities,-34.65
Contactless Rossmann,health,-197.6
STANDING ORDER RAMEN SHOP,cafe_restaurant,-58.66
credit stripe payout commission paid,income,4415.14
DOMINO'S MONTHLY PIZZA,cafe_restaurant,-30.94
cineworld online,entertainment,-30.74
freelance income downtown payout,income,2672.49
VEGETABLES NEAR WORK BULK FOOD,groceries,-17.69
Organic From Naturkost,groceries,-65.46
m&s food sepa/london,groceries,-21.51
ebay card/us purchase,shopping,-405.9
DD ZARA,shopping,-410.49
Recurring Cigna,health,-149.51
RECURRING ART GALLERY MOVIE,entertainment,-61.48
DEEZER ONLINE FESTIVAL PASS,entertainment,-119.88
PURCHASE TEXACO,transport,-72.32
CARD NINTENDO DUBLIN,entertainment,-135.02
PENNY DEBIT/LONDON VEGETABLES,groceries,-45.0
Local Market With Friends,groceries,-30.96
INTEREST PAYMENT | TXN | 2A0E0R,income,1173.5
CREDIT FIVE GUYS VIENNA,cafe_restaurant,-6.88
sports direct monthly jewellery,shopping,-247.75
Purchase Shein,shopping,-220.27
Cvs Gicc8D5R Madrid,health,-215.19
STANDING ORDER MYPROTEIN,health,-26.39
massage outing massage,health,-146.73
autopay broker payout fee,income,936.29
Standing Order Easyjet,transport,-31.73
uniqlo new york online accessories,shopping,-377.95
supermarket direct debit ref hmea0r2 supermarket run,groceries,-37.8
Online Shop App Ref Mwhtsaa,shopping,-335.35
PAYMENT FROM NATURKOST,groceries,-15.92
TRIP CREDITED AIRPORT TRANSFER,transport,-24.5
Whole Foods Debit Us Produce,groceries,-62.02
Spar Food Shopping Vegetables,groceries,-116.45
THERAPY GYM,health,-116.7
Esso Recurring Ref 3Dol0Jyg,transport,-74.89
local market online,groceries,-24.27
Tapas Bar With Friends Coffee,cafe_restaurant,-4.54
CHARGING CREDITED TRIP,transport,-3.48
Credit Bulk Powders Medical,health,-206.67
anytime fitness/purchase/london dental,health,-164.23
CONCERT VENUE AUTOPAY/,entertainment,-91.94
boots delivery medication,health,-213.55
coop monthly dairy,groceries,-64.49
Hospital Inbound Transfer,health,-92.42
DEUTSCHE BAHN WITH FRIENDS,transport,-57.54
WAITRO BERLIN CONTACTLESS,groceries,-44.94
edf stripe/stockholm subscription renewal,bills_utilities,-147.94
Refund Received Downtown Bonus Received,income,4268.29
APPLE MUSIC BILL GIG,entertainment,-8.69
grocery at rewe,groceries,-48.19
Medicine (Rossmann) Protein,health,-188.64
dentist credit/vienna,health,-49.22
FIVERR DIRECT DEBIT DUBLIN CASHBACK CREDITED,income,2052.72
GADGET,shopping,-209.03
AUTOPAY WALGREENS CHARGE PROTEIN,health,-114.08
VINTED CREDIT/FR,shopping,-293.23
l'occitane bill online order,shopping,-34.92
TAPAS BAR - BRUNCH,cafe_restaurant,-5.04
pizzeria online cocktail,cafe_restaurant,-63.8
Food Market-Brussels-Ecom,groceries,-109.81
PETROL DOWNTOWN,transport,-74.71
Theatre Monthly,entertainment,-139.84
App Under Armour De,shopping,-121.35
outlet store direct debit ref imrxj4,shopping,-167.35
MASTERCARD COOP BREAD,groceries,-79.28
so europcar,transport,-59.12
gas at severn trent,bills_utilities,-360.75
KEBAB,cafe_restaurant,-13.0
CAR PARK DIRECT DEBIT WARSAW,transport,-9.33
Dd Amazon Prime Video Festival Pass,entertainment,-102.8
PARAMOUNT+ AUTO-RENEWAL STREAMING,entertainment,-59.22
STRIPE FNAC  DELIVERY,shopping,-136.3
gas credited water,bills_utilities,-1005.59
Concert Venue Delivery Show,entertainment,-147.83
PRIMARK*ORD LISBON SNEAKERS,shopping,-252.9
Rwe Debit,bills_utilities,-95.47
Wine Bar Mastercard,cafe_restaurant,-11.28
marks spencer*tra madrid supermarket run,groceries,-103.3
dinner (pub) lunch,cafe_restaurant,-12.94
electricity bill visit,bills_utilities,-230.83
Order Orange Annual Fee,bills_utilities,-1029.9
Dividend Payment At Monthly Pay Transfer Received,income,4515.01
purchase credited,shopping,-482.66
Purchase Nuffield Health Doctor Visit,health,-30.2
FREE NOW PAYMENT PARKING FEE,transport,-49.49
streaming,entertainment,-62.09
WISE TRANSFER D89YVO LONDON FREELANCE INCOME,income,2040.19
PARKING CARD REF 86N2FDO,transport,-2.69
Netto Visit Weekly Shop,groceries,-46.02
contactless deutsche bahn commute,transport,-26.15
Fare Near Work Fuel,transport,-59.73
puma purchase debit clothing,shopping,-278.52
Shake Shack Received Espresso,cafe_restaurant,-8.44
total visit ferry crossing,transport,-74.62
LYFT 3V01DAN LISBON SHUTTLE,transport,-22.33
Art Gallery Movie,entertainment,-39.26
PAYROLL*FEE DUBLIN,income,5606.12
STANDING ORDER FERRY FERRY CROSSING,transport,-42.25
Card Payment At&T Gb Gas,bills_utilities,-318.0
Parking*V8423Lqz,transport,-65.78
Olive Garden - Brunch,cafe_restaurant,-14.77
Humble Bundle,entertainment,-135.44
CONTACTLESS SCOTTISH WATER,bills_utilities,-353.57
Dress At Best Buy,shopping,-366.9
Naturkost 18Ujl2A Vienna Produce,groceries,-94.25
credit ralph lauren,shopping,-193.12
Gnc / Supplements,health,-106.95
Laser Tag | Debit | 4Jex7Xs2,entertainment,-62.42
CLUB ENTRY OUTING FILM,entertainment,-139.51
AIRBNB PAYOUT ONLINE,income,5140.04
wise transfer-warsaw-recurring cashback credited,income,4235.7
produce from aldi,groceries,-30.77
toptal*cre chicago,income,1548.8
HERTZ TOLL,transport,-15.59
shoes from fnac clothing,shopping,-391.31
nuffield health with friends physio,health,-59.26
Bistro / Dessert Cake,cafe_restaurant,-26.12
DEEZER ONLINE GIG,entertainment,-90.16
AVIVA VISIT,bills_utilities,-1142.14
Medication At Crossfit Gym,health,-74.01
AMAZON PAYMENT ACCESSORIES,shopping,-201.59
Dd National Rail Airport Transfer,transport,-6.79
free now online vienna fare,transport,-18.92
PAYMENT FROM PEACOCK,entertainment,-119.88
SCOTTISH WATER | TRANSFER | 85AKB6CX,bills_utilities,-526.18
Severn Trent Received Electricity,bills_utilities,-540.63
Contactless Carrefour Organic,groceries,-100.03
furniture,shopping,-210.48
Pilates Inbound Transfer Checkup,health,-145.04
Dd Mubi Gaming,entertainment,-55.85
