description,category
APOTEK ITALY DELIVERY,health
Salary Debit Seattle Sepa,other
STARBUCKS*SUB NY,food
wendy's txn fee,food
BEST BUY-ITALY-TRIP,shopping
YOUTUBE SUBSCRIPTION ONLINE AMSTERDAM,entertainment
uber netherlands #5434,transport
Walmart Order,shopping
zalando charge via debit,shopping
AT&T SQUARE UK,other
Apotek Fee Online Belgium,health
TFL EXPENSE,transport
CARREFOUR PURCHASE,shopping
spotify egypt online,entertainment
TESCO APP MIAMI,shopping
Spar Subscription Online Eur,food
amazon*fee san francisco,shopping
TRIP TESCO,shopping
Utility Payment Txn Subscription,other
Steam Txn Online Fl,entertainment
Pharmacy Web Order,health
DEUTSCHE BAHN PURCHASE VIA CREDIT,transport
AT&T APP PURCHASE,other
Kfc Eu Eur,food
bbc iplayer purchase,entertainment
Deutsche Bahn Bill Via Credit,transport
aldi subscription via amex,shopping
bolt boston eur,transport
walmart*bil london,shopping
walgreens il eur,health
Subway Pos/Madrid,food
Boots Fee Online ,health
RITE AID DELIVERY GERMANY SEPA,health
O2 Subscription Via Digital,other
Walmart Ride/Eu,shopping
Spar Charge Via Wire,food
UBER SUBSCRIPTION,transport
costco bill,shopping
verizon purchase,other
card youtube,entertainment
WENDY'S ITALY SEPA,food
Target Uae Paypal,shopping
Greggs Pos San Francisco,food
TFL PAYMENT VIA WIRE,transport
Zalando Germany Eur,shopping
sky*bil madrid,entertainment
carrefour uae trip,shopping
ACH BANK OF AMERICA,other
Disney+ Fee Online Seattle,entertainment
BOLT*PUR VIENNA,transport
SKY CHARGE,entertainment
Walmart Wire  Sepa,shopping
barclays credit milan,other
intl nando's,food
Starbucks Expense,food
NETFLIX SUBSCRIPTION ONLINE BERLIN,entertainment
BEST BUY DELIVERY/NETHERLANDS,shopping
EUROSTAR SPAIN #8493,transport
walgreens-ny-ecom,health
Hospital Egypt #57986,health
Dunkin Ecom Expense,food
WEB STEAM,entertainment
uber subscription via sepa,transport
gym charge,health
Trainline Credit New York Sepa,transport
Steam Online Uk Sepa,entertainment
Visa Eurostar,transport
GREGGS VISA ITALY SEPA,food
Subway*Pur Paris,food
UNKNOWN ECOM/US,other
AMAZON-EUR-PAYPAL,shopping
Trainline Miami Amex,transport
UTILITY PAYMENT TRIP SUBSCRIPTION,other
MTA RIDE NETHERLANDS SEPA,transport
Amazon Debit Fl Sepa,shopping
tesco los angeles eur,shopping
T-Mobile Mastercard/Germany,other
Amc Theatres Txn,entertainment
Lyft Subscription Online Spain,transport
Tesco Payment,shopping
Spar Trip Fl Sepa,food
Utility Payment Amex Belgium Sepa,other
amc theatres intl/egypt,entertainment
Debit Greggs,food
Atm Txn/Los Angeles,other
o2 charge online amsterdam,other
walgreens subscription,health
UBER NETHERLANDS #33025,transport
rite aid dallas eur,health
SKY EUR #89224,entertainment
Rite Aid Charge Via Amex,health
Nando'S Amex Egypt,food
At&T*Bil Germany,other
spar-ksa-pos,food
SPOTIFY EU EUR,entertainment
Best Buy Txn Via Intl,shopping
WALMART AMEX LONDON,shopping
TESCO LOS ANGELES PAYPAL,shopping
chipotle-london-ride,food
Online Carrefour,shopping
Netflix Italy #91166,entertainment
Lyft Bill,transport
XBOX TXN ONLINE SPAIN,entertainment
pharmacy delivery/rome,health
UBER-CAIRO-DEBIT,transport
rite aid purchase via sepa,health
Amc Theatres New York Txn,entertainment
Nando'S Purchase Via Trip,food
Square Eurostar,transport
RENFE STRIPE/EGYPT,transport
walmart paypal boston,shopping
BOOTS ECOM/DALLAS,health
DOCMORRIS BILL ONLINE NEW YORK,health
amazon*pur brussels,shopping
EUROSTAR SAN FRANCISCO #67358,transport
HSBC DELIVERY SPAIN SEPA,other
Clinic Credit Milan Sepa,health
lyft txn,transport
Amc Theatres Visa Order,entertainment
bank of america card rome sepa,other
Utility Payment Card Eu,other
Iban Orange,other
mta new york eur,transport
uber sepa new york sepa,transport
Boots Madrid Ecom,health
el corte ingles uk #33992,shopping
Bart Txn Egypt,transport
clinic-ksa-stripe,health
Steam Milan #41239,entertainment
Tesco Chicago Digital,shopping
Lyft Charge Online Uae,transport
TRAINLINE DELIVERY ITALY SEPA,transport
Tfl*Pur Cairo,transport
AMC THEATRES SEPA EUR,entertainment
steam web milan,entertainment
spar-egypt-ecom,food
Aldi Ny #19059,shopping
TACO BELL DEBIT/PARIS,food
KFC AMEX ORDER,food
T-MOBILE ORDER VIA PAYPAL,other
tfl txn,transport
xbox app uk sepa,entertainment
bolt egypt eur,transport
ORANGE WIRE BILL,other
BANK OF AMERICA ORDER VIA ONLINE,other
ATM TRIP MADRID SEPA,other
t-mobile debit france sepa,other
chipotle-new york-amex,food
El Corte Ingles Seattle Eur,shopping
netflix txn sepa sepa,entertainment
TESCO SEPA AMSTERDAM SEPA,shopping
Target Charge Via Visa,shopping
AT&T KSA #24200,other
GREGGS SUBSCRIPTION,food
ride pharmacy,health
card taco bell,food
CHASE US DEBIT,other
Clinic Delivery Eur,health
GYM AMSTERDAM PAYPAL,health
Bbc Iplayer App Berlin Sepa,entertainment
stripe pharmacy,health
MTA UK STRIPE,transport
AT&T CREDIT EXPENSE,other
CLINIC FEE ONLINE AUSTRIA,health
Best Buy Subscription,shopping
pharmacy amex subscription,health
mta amex/new york,transport
MTA-ALEX-ONLINE,transport
AMC THEATRES-ALEX-DELIVERY,entertainment
online spotify,entertainment
WALGREENS ORDER VIA IBAN,health
TACO BELL AMSTERDAM MASTERCARD,food
Utility Payment Delivery Payment,other
Digital El Corte Ingles,shopping
Subway Belgium #64220,food
SALARY*FEE PARIS,other
TRAINLINE CHARGE,transport
GYM SUBSCRIPTION,health
taco bell ach/germany,food
canal+ fee via online,entertainment
dunkin stripe/fl,food
Clinic Purchase,health
T-Mobile Purchase Via Digital,other
SUBWAY-ITALY-AMEX,food
NETFLIX ONLINE KSA,entertainment
Deutsche Bahn Square Alex Sepa,transport
Xbox Payment Online Cairo,entertainment
Amazon Subscription Via Digital,shopping
rite aid intl san francisco sepa,health
target expense,shopping
Atm Trip Miami Sepa,other
pret a manger*exp eu,food
amex nando's,food
Amtrak Bill Online Fl,transport
digital mta,transport
TACO BELL SAN FRANCISCO #33961,food
YOUTUBE ACH EUR,entertainment
chase belgium card,other
Mastercard Docmorris,health
tfl txn boston sepa,transport
spotify sepa paris,entertainment
XBOX IL DELIVERY,entertainment
mastercard docmorris,health
sky iban charge,entertainment
aldi subscription,shopping
amazon fee online vienna,shopping
bart subscription online austria,transport
AMTRAK SUBSCRIPTION ONLINE LOS ANGELES,transport
AT&T SUBSCRIPTION,other
Vodafone Card Brussels Sepa,other
online nando's,food
STEAM SUBSCRIPTION ONLINE AMSTERDAM,entertainment
WENDY'S DEBIT CHARGE,food
Orange*Txn Ca,other
NETFLIX PAYPAL LONDON,entertainment
BARCLAYS TRIP/DALLAS,other
Tesco Card/Madrid,shopping
clinic ride fee,health
Zalando Paypal/Miami,shopping
WALMART IBAN AUSTRIA SEPA,shopping
CLINIC CHARGE VIA TXN,health
SPOTIFY SEATTLE #32663,entertainment
spotify charge online amsterdam,entertainment
Gym*Sub Los Angeles,health
dunkin iban brussels sepa,food
Boots Wire Expense,health
Docmorris Wa Amex,health
Pharmacy Card Amsterdam,health
Bbc Iplayer-Giza-Amex,entertainment
walgreens cairo square,health
TFL*FEE EGYPT,transport
Mcdonalds-Us-Web,food
Pret A Manger Debit/Berlin,food
Target Paypal/France,shopping
AMAZON CREDIT/FL,shopping
chase payment online alex,other
best buy chicago #23897,shopping
CVS DALLAS STRIPE,health
intl costco,shopping
AMC THEATRES ROME EUR,entertainment
SKY DEBIT/LOS ANGELES,entertainment
walgreens web rome sepa,health
clinic fee online giza,health
BOOTS-SEATTLE-ECOM,health
uber spain #82389,transport
bbc iplayer txn online giza,entertainment
sncf iban/uk,transport
wendy's card spain,food
Online Bbc Iplayer,entertainment
EUROSTAR FEE VIA RIDE,transport
aldi payment online italy,shopping
walmart purchase via txn,shopping
italo france eur,transport
Chipotle Sepa Payment,food
trip apotek,health
Netflix Fee Via Pos,entertainment
tfl card austria,transport
online le pain quotidien,food
Billa Expense Online Amsterdam,food
Tesco Charge,shopping
steam card purchase,entertainment
Sky Ca Eur,entertainment
walmart sepa  sepa,shopping
Cvs*Cha Netherlands,health
Vodafone Ride Miami,other
ACH STEAM,entertainment
bolt debit uae sepa,transport
vodafone app san francisco,other
SALARY FRANCE EUR,other
SPOTIFY ORDER VIA TRIP,entertainment
IBAN GYM,health
Walmart Delivery/Los Angeles,shopping
zalando-us-credit,shopping
cvs ride charge,health
AMTRAK FEE VIA WEB,transport
CARREFOUR TXN CHARGE,shopping
EAT. CA #94686,food
card youtube,entertainment
Clinic Los Angeles Mastercard,health
pharmacy iban fee,health
NETFLIX VISA SAN FRANCISCO,entertainment
unknown uae online,other
GYM SAN FRANCISCO SEPA,health
best buy credit bill,shopping
greggs expense via ach,food
Apotek Purchase Online Boston,health
Steam Egypt #75346,entertainment
eat. purchase,food
Walgreens Delivery Giza,health
docmorris berlin visa,health
Hospital Order Online Vienna,health
Amtrak San Francisco Iban,transport
Aldi*Pur Chicago,shopping
Carrefour Us Delivery,shopping
Wendy'S Amsterdam #22952,food
Pharmacy Web Usa Sepa,health
Atm Austria Eur,other
apotek austria sepa,health
salary pos/ny,other
taco bell subscription,food
boots web/dallas,health
PHARMACY EXPENSE VIA CREDIT,health
taco bell wire giza sepa,food
Dunkin Purchase,food
TARGET ONLINE PURCHASE,shopping
PAYPAL CHIPOTLE,food
kfc digital/,food
bank of america card fee,other
Amazon Digital Brussels,shopping
VODAFONE PAYMENT,other
APOTEK GIZA EUR,health
PHARMACY-US-APP,health
netflix intl/london,entertainment
Dunkin Txn Purchase,food
sncf online cairo sepa,transport
Rite Aid-Giza-Sepa,health
Cvs Card/Spain,health
Canal+ Charge Online Ca,entertainment
t-mobile subscription via card,other
canal+*pay boston,entertainment
UNKNOWN BILL VIA PAYPAL,other
El Corte Ingles Ride/Sepa,shopping
costco amsterdam #95561,shopping
Trainline  #75400,transport
steam-tx-sepa,entertainment
GREGGS FEE VIA TRIP,food
Lidl Digital Expense,food
POS TARGET,shopping
mcdonalds netherlands eur,food
vodafone app/france,other
Xbox Los Angeles #53198,entertainment
CARREFOUR INTL/SPAIN,shopping
EL CORTE INGLES*FEE SAN FRANCISCO,shopping
aldi sepa eur,shopping
Verizon Trip Uk,other
costco amex netherlands,shopping
CHASE USA POS,other
pret a manger fee via mastercard,food
Kfc Txn/Egypt,food
Xbox Web/London,entertainment
Salary Germany Eur,other
Cvs Payment Via Intl,health
Vodafone Amex/Vienna,other
Gym Txn,health
Spar Stripe Boston Sepa,food
NANDO'S-LOS ANGELES-TRIP,food
PAYPAL AT&T,other
BOLT MASTERCARD PAYMENT,transport
trainline subscription via ride,transport
MCDONALDS SPAIN #36747,food
amazon-eur-iban,shopping
trainline square/new york,transport
PLAYSTATIONHULU PAYMENT ONLINE CAIRO,entertainment
LYFT MILAN EUR,transport
WALMART WIRE PURCHASE,shopping
aldi online ca,shopping
UTILITY PAYMENT MASTERCARD ALEX SEPA,other
disney+ sepa eur,entertainment
uber credit  sepa,transport
Orange Charge,other
starbucks*ord ca,food
Atm-Dallas-Ecom,other
Best Buy Wire San Francisco,shopping
boots charge,health
Utility Payment Expense,other
STEAM-NEW YORK-CARD,entertainment
O2*Txn Italy,other
ECOM HOSPITAL,health
Spotify Debit Uae Sepa,entertainment
Cvs Uae Ach,health
Salary Expense Online Uae,other
HSBC ACH NY SEPA,other
ZALANDO*TXN VIENNA,shopping
TARGET RIDE ORDER,shopping
MTA-GIZA-SEPA,transport
xbox purchase,entertainment
Verizon-Austria-Intl,other
RENFE ONLINE/MIAMI,transport
renfe subscription online miami,transport
Canal+ Square Sepa Sepa,entertainment
SALARY PARIS ACH,other
pharmacy*exp boston,health
BILLA*BIL ITALY,food
Steam Ksa Eur,entertainment
bank of america spain eur,other
TRAINLINE PAYPAL USA,transport
XBOX MASTERCARD NY,entertainment
orange sepa uk,other
COSTCO PAYPAL/SEATTLE,shopping
WALMART PAYPAL TXN,shopping
Le Pain Quotidien Il #88125,food
Chase Paypal Miami,other
Chase Charge Via Pos,other
docmorris london eur,health
Gym Fee,health
Italo Il #47148,transport
MCDONALDS BRUSSELS EUR,food
Debit Zalando,shopping
DUNKIN CAIRO #42904,food
UNKNOWN IBAN AMSTERDAM,other
lidl*bil fl,food
Amtrak Paris #32539,transport
CREDIT DISNEY+,entertainment
disney+-netherlands-credit,entertainment
costco app madrid,shopping
T-MOBILE ORDER,other
lyft iban/us,transport
eurostar-wa-ach,transport
Trainline Debit Miami,transport
Trainline Expense Online Eur,transport
Sepa Steam,entertainment
Disney+ Subscription,entertainment
Bbc Iplayer Mastercard Rome Sepa,entertainment
Pharmacy Wire Charge,health
atm intl milan sepa,other
canal+*bil vienna,entertainment
Zalando Payment,shopping
Youtube Online France Sepa,entertainment
CLINIC ITALY EUR,health
Apotek Vienna Visa,health
Costco Purchase Via Amex,shopping
EL CORTE INGLES AUSTRIA ONLINE,shopping
docmorris subscription,health
O2 Pos Cairo Sepa,other
walgreens chicago ecom,health
costco payment via square,shopping
WENDY'S IL EUR,food
Carrefour Intl/Boston,shopping
KFC TXN SAN FRANCISCO SEPA,food
bart order via credit,transport
Tfl Txn/Eur,transport
UTILITY PAYMENT FEE,other
COSTCO MASTERCARD/IL,shopping
BEST BUY SEPA SUBSCRIPTION,shopping
boots bill via intl,health
NETFLIX BILL,entertainment
UTILITY PAYMENT FEE ONLINE MADRID,other
CLINIC ONLINE CA,health
DOCMORRIS*SUB CHICAGO,health
Zalando Order Via Card,shopping
atm charge,other
deutsche bahn purchase online new york,transport
italo digital expense,transport
utility payment boston eur,other
ALDI AMSTERDAM #79576,shopping
COSTCO ECOM SUBSCRIPTION,shopping
xbox netherlands #61640,entertainment
trainline boston #26672,transport
Le Pain Quotidien Purchase,food
TRIP PHARMACY,health
dunkin eu intl,food
Xbox Intl Egypt Sepa,entertainment
Eurostar Payment,transport
AMAZON MASTERCARD VIENNA,shopping
bolt bill online chicago,transport
APOTEK CHARGE,health
disney+ subscription,entertainment
HSBC SQUARE PAYMENT,other
SNCF CA CARD,transport
Spar-Milan-Wire,food
EUROSTAR TXN NY SEPA,transport
Spar Iban Subscription,food
O2 MASTERCARD GIZA,other
T-Mobile Wire/Dallas,other
netflix bill online germany,entertainment
Italo Card Ca,transport
best buy charge online alex,shopping
NETFLIX DIGITAL SUBSCRIPTION,entertainment
wendy's order online boston,food
renfe los angeles #7255,transport
Subway Wire Austria,food
BEST BUY-USA-SEPA,shopping
apotek dallas pos,health
Xbox Paypal Txn,entertainment
HSBC ORDER VIA WIRE,other
AMTRAK-EUR-STRIPE,transport
Billa Payment,food
TFL EU INTL,transport
spar txn via trip,food
Paul Bakery Paris Card,food
carrefour paypal fee,shopping
orange wire madrid sepa,other
amc theatres web/germany,entertainment
Boots Uae #90094,health
Youtube Order,entertainment
Dunkin Expense Via Intl,food
Wendy'S London #16777,food
Chipotle Delivery Paris Sepa,food
Docmorris Netherlands Eur,health
Orange Dallas Wire,other
Paul Bakery Intl Rome,food
subway rome #8000,food
UTILITY PAYMENT VISA CHICAGO,other
WALGREENS TXN VIA MASTERCARD,health
chipotle trip payment,food
amc theatres payment online eu,entertainment
hospital intl/belgium,health
CVS BILL,health
Credit Paul Bakery,food
renfe payment via app,transport
VISA DOCMORRIS,health
Chase Chicago Eur,other
ITALO PURCHASE ONLINE EUR,transport
TESCO US EUR,shopping
PHARMACY*FEE SPAIN,health
tesco boston #55867,shopping
o2-milan-amex,other
Best Buy*Cha Germany,shopping
Apotek Los Angeles Eur,health
Deutsche Bahn-Boston-Mastercard,transport
Walgreens  Eur,health
SEPA BART,transport
BART WIRE GIZA,transport
Mta Txn,transport
DEUTSCHE BAHN*TXN EGYPT,transport
DISNEY+ CHICAGO #15172,entertainment
Lidl Mastercard Ksa Sepa,food
Cvs-Austria-Digital,health
Tesco Purchase,shopping
iban billa,food
Verizon Square Brussels,other
amazon payment via wire,shopping
Credit T-Mobile,other
INTL WALGREENS,health
Bbc Iplayer Bill Via Square,entertainment
HSBC DEBIT SUBSCRIPTION,other
Carrefour*Txn Seattle,shopping
hsbc bill via ride,other
BANK OF AMERICA PURCHASE ONLINE GIZA,other
youtube-eur-iban,entertainment
renfe london intl,transport
Uber Giza Eur,transport
STEAM*PUR BOSTON,entertainment
CLINIC SEPA TXN,health
BEST BUY LOS ANGELES EUR,shopping
bank of america seattle card,other
Docmorris Visa/Madrid,health
netflix square purchase,entertainment
sky payment online tx,entertainment
vodafone ride/milan,other
cvs credit eu,health
cvs san francisco #62084,health
Hospital Charge Via Card,health
bank of america netherlands eur,other
TACO BELL EXPENSE ONLINE BRUSSELS,food
HOSPITAL-ITALY-VISA,health
Best Buy Txn Via Credit,shopping
Spar Web Payment,food
mastercard docmorris,health
Sky Iban Seattle,entertainment
AMEX CARREFOUR,shopping
Spar Pos Bill,food
sky payment via trip,entertainment
Eat. Purchase,food
BBC IPLAYER EUR INTL,entertainment
Disney+ Payment,entertainment
canal+*exp brussels,entertainment
amex bolt,transport
Card Bolt,transport
TARGET UK DIGITAL,shopping
aldi subscription,shopping
Taco Bell-Vienna-Amex,food
walgreens spain eur,health
Costco Fee,shopping
Youtube Payment Online Alex,entertainment
AMTRAK WIRE AMSTERDAM,transport
el corte ingles payment,shopping
youtube charge via amex,entertainment
ZALANDO NEW YORK EUR,shopping
atm subscription via trip,other
Tesco-Ca-Mastercard,shopping
Zalando Web Txn,shopping
Disney+ Giza App,entertainment
Bart Order,transport
STEAM TXN VIA SQUARE,entertainment
Playstationhulu Eu #14477,entertainment
O2 ECOM UK,other
canal+ sepa miami,entertainment
TFL BOSTON SEPA,transport
bolt-italy-ecom,transport
Playstationhulu Online Netherlands,entertainment
T-Mobile Ride Ksa Sepa,other
BBC IPLAYER PAYPAL/GIZA,entertainment
SKY CARD/USA,entertainment
T-MOBILE BERLIN EUR,other
O2 Amsterdam #24792,other
O2-LOS ANGELES-ACH,other
Ach Spotify,entertainment
BARCLAYS-UK-ACH,other
paul bakery payment online vienna,food
Italo Web Austria,transport
Chase Ecom London,other
pharmacy expense online giza,health
boots bill via mastercard,health
WIRE CARREFOUR,shopping
MTA BELGIUM #39449,transport
NETFLIX SEPA SEATTLE SEPA,entertainment
CREDIT VODAFONE,other
ALDI RIDE DALLAS,shopping
NANDO'S APP BELGIUM,food
ORANGE BRUSSELS #33206,other
amc theatres germany eur,entertainment
VERIZON INTL VIENNA,other
salary visa/us,other
gym ride us,health
Playstationhulu Expense Via Digital,entertainment
CHASE DELIVERY EGYPT SEPA,other
atm txn online usa,other
CHASE PAYPAL BERLIN SEPA,other
zalando intl charge,shopping
tesco*txn netherlands,shopping
stripe wendy's,food
COSTCO EGYPT WEB,shopping
web wendy's,food
RITE AID PURCHASE ONLINE EUR,health
PLAYSTATIONHULU SPAIN SQUARE,entertainment
Playstationhulu Visa/Germany,entertainment
BANK OF AMERICA-SPAIN-DIGITAL,other
Spar Square Uk,food
BEST BUY PAYMENT ONLINE GIZA,shopping
Zalando Sepa/Netherlands,shopping
PHARMACY EXPENSE ONLINE ALEX,health
barclays san francisco ecom,other
ach docmorris,health
walgreens square alex,health
SPOTIFY FEE VIA IBAN,entertainment
Sky Seattle Trip,entertainment
t-mobile charge online wa,other
pret a manger bill,food
BOLT UAE #14617,transport
hospital rome txn,health
SKY-MIAMI-DIGITAL,entertainment
Hospital Belgium Eur,health
ALDI PAYPAL BILL,shopping
amc theatres txn,entertainment
trainline alex #60128,transport
Italo Ecom/San Francisco,transport
CLINIC-EU-STRIPE,health
apotek payment via txn,health
UBER FEE VIA CREDIT,transport
steam fee,entertainment
Spotify Vienna Intl,entertainment
trainline ach/eu,transport
amazon-sepa-trip,shopping
spotify-ca-txn,entertainment
Hospital Ach Txn,health
El Corte Ingles Spain #97648,shopping
PRET A MANGER SAN FRANCISCO #22481,food
barclays bill,other
trip bart,transport
deutsche bahn wire txn,transport
bolt*fee uae,transport
nando's txn,food
TARGET GERMANY #47068,shopping
docmorris pos payment,health
BOOTS IL EUR,health
Clinic Ny Web,health
Hsbc Us #18520,other
BOOTS EXPENSE VIA ONLINE,health
Mta--Delivery,transport
TARGET LONDON EUR,shopping
YOUTUBE WEB FRANCE,entertainment
Rite Aid Uk Eur,health
docmorris bill,health
Clinic-Ca-Ride,health
Trainline Intl Payment,transport
BILLA-SEPA-CREDIT,food
tfl-vienna-iban,transport
Xbox Purchase Via Credit,entertainment
walgreens-wa-online,health
STEAM MASTERCARD/MILAN,entertainment
Amc Theatres Payment Via Pos,entertainment
Clinic Giza Eur,health
Barclays Ny #49028,other
Canal+ Trip/Italy,entertainment
STEAM FEE VIA DEBIT,entertainment
At&T Sepa Eur,other
AMC THEATRES UAE CREDIT,entertainment
Iban Rite Aid,health
Bbc Iplayer Card Paris,entertainment
playstationhulu*txn tx,entertainment
Bolt Il #32174,transport
BART PAYMENT VIA ONLINE,transport
Docmorris-Tx-Ach,health
Kfc Web New York,food
Mcdonalds Delivery Milan,food
tfl miami ach,transport
Ach Atm,other
uber-madrid-pos,transport
Taco Bell Txn,food
digital sky,entertainment
Unknown Txn Expense,other
Best Buy Debit Miami,shopping
Tesco Paypal Amsterdam Sepa,shopping
vodafone san francisco trip,other
starbucks delivery ny,food
Target Tx #40288,shopping
Utility Payment Digital Germany,other
eat. wire charge,food
eurostar delivery belgium,transport
AMTRAK WEB SPAIN SEPA,transport
Amtrak Fee,transport
carrefour square madrid,shopping
Greggs Ksa Credit,food
BBC IPLAYER CAIRO WEB,entertainment
CLINIC-WA-DELIVERY,health
wire salary,other
Trainline App Amsterdam Sepa,transport
atm rome visa,other
Hospital-Milan-App,health
Pharmacy Charge Online Germany,health
TRAINLINE VIENNA TRIP,transport
UBER MIAMI #4064,transport
rite aid expense,health
walmart ach subscription,shopping
Lyft Digital Miami,transport
STEAM PAYMENT,entertainment
zalando intl/chicago,shopping
RITE AID-GIZA-IBAN,health
Ride Target,shopping
BART ORDER VIA AMEX,transport
docmorris credit bill,health
Boots Dallas Eur,health
Boots Ecom Eur,health
ITALO TXN/EUR,transport
Le Pain Quotidien Uae #40994,food
rite aid trip txn,health
el corte ingles order via visa,shopping
SKY BILL ONLINE US,entertainment
Lyft*Txn Paris,transport
cvs bill via credit,health
O2 Egypt #62644,other
Salary Subscription Online Madrid,other
Verizon*Pay Belgium,other
Lyft Txn Online Germany,transport
Apotek San Francisco Eur,health
PRET A MANGER BILL VIA ECOM,food
Uber Order Online Alex,transport
hospital app txn,health
Carrefour Online Alex,shopping
mcdonalds online italy,food
square bolt,transport
XBOX FEE ONLINE EUR,entertainment
playstationhulu vienna eur,entertainment
HSBC EU EUR,other
COSTCO PURCHASE,shopping
Nando'S Debit Il,food
eat. bill via web,food
RENFE LOS ANGELES EUR,transport
trip orange,other
costco bill via online,shopping
card eurostar,transport
APP DOCMORRIS,health
renfe il eur,transport
VODAFONE BRUSSELS #23202,other
Sky Chicago Stripe,entertainment
Tesco Stripe Ksa,shopping
ITALO CREDIT PURCHASE,transport
Apotek Purchase Via Txn,health
verizon-brussels-web,other
unknown order online seattle,other
target purchase online boston,shopping
Zalando Madrid Square,shopping
atm delivery seattle sepa,other
BARCLAYS CREDIT LOS ANGELES,other
SPOTIFY BILL ONLINE NEW YORK,entertainment
MTA SUBSCRIPTION ONLINE LONDON,transport
netflix*pur cairo,entertainment
utility payment uk #62813,other
Unknown Mastercard Order,other
Chase*Bil Eur,other
Sepa Lidl,food
Hospital Expense Online Wa,health
ZALANDO BILL,shopping
EAT. FL #53696,food
At&T Alex #84861,other
hsbc app ny,other
renfe*sub madrid,transport
trainline ecom seattle,transport
ecom clinic,health
Zalando-Austria-Credit,shopping
AMC THEATRES BELGIUM #97002,entertainment
boots berlin ride,health
ORANGE FEE VIA INTL,other
ALDI STRIPE AUSTRIA,shopping
BOOTS WA #12571,health
hospital txn sepa,health
sepa amazon,shopping
disney+ sepa fee,entertainment
Costco-Madrid-Digital,shopping
Vodafone Debit Eu Sepa,other
AMEX XBOX,entertainment
ORANGE ITALY WEB,other
starbucks order online usa,food
DEUTSCHE BAHN SUBSCRIPTION,transport
Disney+ Eur #43732,entertainment
Vodafone Charge,other
Online Mcdonalds,food
Ach Amazon,shopping
RITE AID*CHA GERMANY,health
El Corte Ingles Bill Via Web,shopping
tesco subscription via intl,shopping
HSBC TXN,other
Zalando Debit Purchase,shopping
cvs fee online wa,health
UBER SAN FRANCISCO EUR,transport
Starbucks Bill,food
Billa Fee Via Trip,food
TRAINLINE ALEX EUR,transport
Deutsche Bahn-Dallas-Iban,transport
Paul Bakery Paris Eur,food
UTILITY PAYMENT WA #70158,other
KFC FEE,food
costco digital vienna,shopping
rite aid new york wire,health
Costco Belgium Eur,shopping
SPAR DELIVERY MILAN,food
GREGGS CHICAGO EUR,food
APOTEK PARIS TXN,health
Canal+ Charge Via Intl,entertainment
aldi web/vienna,shopping
target fee online rome,shopping
deutsche bahn delivery/ny,transport
Pret A Manger Digital Eu Sepa,food
Amc Theatres Online/Fl,entertainment
VERIZON BILL VIA TXN,other
Carrefour Eu Wire,shopping
Chase Charge Via Debit,other
TARGET BRUSSELS EUR,shopping
ITALO WIRE/VIENNA,transport
vodafone paypal/paris,other
At&T Seattle #7941,other
DISNEY+ SQUARE FEE,entertainment
Pret A Manger Paypal Dallas,food
Mta*Fee Brussels,transport
RITE AID NY ECOM,health
SKY CARD/NETHERLANDS,entertainment
o2 chicago eur,other
Gym Pos/Seattle,health
STARBUCKS STRIPE FEE,food
youtube netherlands eur,entertainment
zalando uae #45762,shopping
YOUTUBE INTL ORDER,entertainment
Uber Uk #96807,transport
DOCMORRIS--INTL,health
DUNKIN BELGIUM EUR,food
Best Buy Txn Online Austria,shopping
vodafone stripe eu sepa,other
kfc paypal tx sepa,food
EUROSTAR TXN ONLINE GERMANY,transport
carrefour payment,shopping
El Corte Ingles*Sub Italy,shopping
cvs iban order,health
WALMART CHARGE,shopping
SALARY PURCHASE VIA ONLINE,other
Square El Corte Ingles,shopping
ORANGE PURCHASE,other
Eurostar Italy #34926,transport
MCDONALDS PAYMENT,food
Wendy'S Pos Fee,food
AMAZON APP TXN,shopping
O2 Charge Online Il,other
AT&T CHARGE,other
hsbc digital/vienna,other
Tesco Payment,shopping
verizon ksa #36292,other
barclays card/eur,other
Carrefour London #28656,shopping
O2 Digital/Spain,other
Chase Txn,other
el corte ingles digital fee,shopping
VODAFONE*EXP FRANCE,other
card utility payment,other
bolt tx eur,transport
Verizon Charge Via Txn,other
XBOX-KSA-ONLINE,entertainment
SQUARE LE PAIN QUOTIDIEN,food
DUNKIN CHARGE ONLINE EGYPT,food
WALGREENS DIGITAL ALEX,health
AMTRAK CHARGE,transport
trainline txn online fl,transport
Starbucks Sepa Austria,food
playstationhulu*exp ny,entertainment
bank of america alex web,other
carrefour france #2194,shopping
Zalando*Fee Los Angeles,shopping
DOCMORRIS*PUR EGYPT,health
T-MOBILE PURCHASE VIA ACH,other
steam digital expense,entertainment
AMAZON CARD ORDER,shopping
Walgreens Digital Usa,health
Tesco-Ny-Ach,shopping
Wire Trainline,transport
Tfl-Sepa-Iban,transport
bank of america charge via amex,other
playstationhulu cairo online,entertainment
bbc iplayer ecom charge,entertainment
barclays txn via sepa,other
tesco  stripe,shopping
UNKNOWN PARIS #76512,other
Paypal Clinic,health
PAYPAL XBOX,entertainment
WALMART SUBSCRIPTION VIA WEB,shopping
Clinic Expense Online Sepa,health
VERIZON ORDER,other
Amtrak-Uae-Debit,transport
docmorris app uae,health
Spotify Subscription Online Wa,entertainment
hsbc alex eur,other
PLAYSTATIONHULU-BRUSSELS-MASTERCARD,entertainment
